trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
465,False,"{'a': 0.01, 'e': 0.0095616019305435045}",20,0,35.35408550977074,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.01, 'e': 0.0094664624017103231}",20,8,23.777064684718958,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.01, 'e': 0.0093722695270060576}",20,6,21.504761744213656,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.01, 'e': 0.0092790138870647437}",25,17,17.60859540577831,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.01, 'e': 0.0091866861562446642}",20,13,11.912670507141328,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.01, 'e': 0.0090952771016958155}",30,9,35.78255707859389,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.01, 'e': 0.0090047775824365593}",20,1,28.372600471275817,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.01, 'e': 0.0089151785484395535}",25,9,12.054962994932104,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
473,False,"{'a': 0.01, 'e': 0.0088264710397267226}",25,11,24.01982290698512,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.01, 'e': 0.0087386461854732905}",20,12,16.01501506529622,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.01, 'e': 0.0086516952031206341}",25,14,17.905946470057344,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.01, 'e': 0.0085656093974980606}",25,17,9.89984889949466,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.01, 'e': 0.0084803801599532599}",20,11,17.84811809344158,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.01, 'e': 0.0083959989674914706}",25,13,22.36094733581111,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.01, 'e': 0.0083124573819231187}",20,0,18.070829225743065,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
480,False,"{'a': 0.01, 'e': 0.0082297470490200302}",25,0,29.830301683109283,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
481,False,"{'a': 0.01, 'e': 0.0081478596976799818}",25,5,15.513947838422201,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
482,False,"{'a': 0.01, 'e': 0.0080667871390996144}",30,20,15.967914747633403,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.01, 'e': 0.0079865212659555023}",30,0,38.05620621275622,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
484,False,"{'a': 0.01, 'e': 0.0079070540515934415}",20,0,34.08177133771553,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
485,False,"{'a': 0.01, 'e': 0.0078283775492257665}",25,0,36.58554608639861,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
486,False,"{'a': 0.01, 'e': 0.0077504838911366921}",20,0,36.414845959013405,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
487,False,"{'a': 0.01, 'e': 0.0076733652878954893}",20,8,16.24373522572557,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.01, 'e': 0.007597014027577567}",20,7,25.90960651274183,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.01, 'e': 0.0075214224749932702}",25,14,23.523103667074366,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.01, 'e': 0.0074465830709243381}",20,0,-11.056733338827696,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
491,False,"{'a': 0.01, 'e': 0.007372488331368012}",30,0,43.048813449243994,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
492,False,"{'a': 0.01, 'e': 0.0072991308467885829}",20,14,10.758860162753995,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.01, 'e': 0.0072265032813764625}",25,0,40.70016218925328,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
494,False,"{'a': 0.01, 'e': 0.0071545983723145792}",25,4,16.803640902000016,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
495,False,"{'a': 0.01, 'e': 0.0070834089290521185}",20,15,6.473072612788951,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'a': 0.01, 'e': 0.0070129278325854246}",20,0,29.37636180628216,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
